V,K,Avg,WG,Gap,Distance,Similarity
130,3,84.906,50.565,34.342,8.933,0.694
130,3,83.408,82.097,1.312,145.309,0.723
130,3,82.086,75.556,6.53,115.666,0.672
130,4,86.043,51.935,34.108,30.218,0.693
130,4,83.408,82.097,1.312,145.309,0.723
130,4,82.086,75.556,6.53,115.666,0.672
130,4,67.393,52.21,15.183,159.069,0.7
130,5,82.993,80.743,2.249,44.917,0.722
130,5,68.42,52.926,15.494,116.532,0.704
130,5,85.117,49.435,35.681,86.097,0.689
130,5,85.538,85.07,0.468,29.498,0.719
130,5,82.086,75.556,6.53,115.666,0.672
130,6,73.445,69.144,4.301,140.876,0.697
130,6,86.434,58.508,27.926,43.511,0.687
130,6,82.812,80.027,2.786,32.445,0.723
130,6,85.152,83.132,2.02,111.437,0.716
130,6,87.717,75.556,12.161,115.932,0.678
130,6,69.517,55.355,14.162,115.12,0.697
130,7,82.812,80.027,2.786,32.445,0.723
130,7,87.742,47.823,39.919,72.902,0.69
130,7,85.152,83.132,2.02,111.437,0.716
130,7,73.445,69.144,4.301,140.876,0.697
130,7,79.376,65.121,14.255,133.844,0.669
130,7,69.222,54.851,14.371,10.931,0.703
130,7,88.989,66.667,22.322,138.04,0.675
130,8,69.222,54.851,14.371,10.931,0.703
130,8,87.516,42.742,44.774,28.81,0.687
130,8,84.846,82.415,2.431,53.326,0.717
130,8,73.445,69.144,4.301,140.876,0.697
130,8,83.373,78.889,4.485,175.312,0.708
130,8,88.989,66.667,22.322,138.04,0.675
130,8,79.376,65.121,14.255,133.844,0.669
130,8,83.909,82.707,1.202,11.563,0.722
130,9,78.99,74.214,4.776,16.605,0.716
130,9,83.373,78.889,4.485,175.312,0.708
130,9,87.241,46.976,40.265,26.5,0.683
130,9,88.989,66.667,22.322,138.04,0.675
130,9,71.205,60.372,10.834,115.531,0.714
130,9,84.661,81.088,3.573,134.343,0.716
130,9,73.445,69.144,4.301,140.876,0.697
130,9,79.376,65.121,14.255,133.844,0.669
130,9,84.766,68.105,16.661,15.216,0.726
130,10,86.394,55.403,30.991,16.258,0.683
130,10,86.344,72.339,14.005,48.759,0.687
130,10,85.838,67.218,18.62,119.528,0.722
130,10,84.661,81.088,3.573,134.343,0.716
130,10,71.205,60.372,10.834,115.531,0.714
130,10,79.336,70.604,8.732,122.504,0.71
130,10,90.392,53.889,36.503,32.322,0.673
130,10,79.376,65.121,14.255,133.844,0.669
130,10,73.124,69.868,3.256,164.414,0.698
130,10,80.202,73.988,6.214,109.308,0.718
130,11,84.17,81.888,2.282,52.123,0.69
130,11,71.205,60.372,10.834,115.531,0.714
130,11,76.42,68.786,7.635,34.851,0.683
130,11,80.768,76.457,4.312,143.277,0.717
130,11,86.464,50.887,35.577,46.238,0.686
130,11,85.372,66.855,18.517,25.563,0.725
130,11,85.002,82.243,2.759,104.715,0.717
130,11,79.376,65.121,14.255,133.844,0.669
130,11,79.336,70.604,8.732,122.504,0.71
130,11,76.55,67.339,9.211,157.897,0.703
130,11,90.392,53.889,36.503,32.322,0.673
130,12,84.17,81.888,2.282,52.123,0.69
130,12,85.633,49.234,36.399,39.658,0.685
130,12,79.336,70.604,8.732,122.504,0.71
130,12,88.989,66.667,22.322,138.04,0.675
130,12,80.533,75.979,4.554,127.951,0.725
130,12,84.24,80.65,3.59,43.57,0.716
130,12,84.676,63.831,20.845,168.87,0.721
130,12,79.376,65.121,14.255,133.844,0.669
130,12,72.914,66.238,6.676,147.344,0.696
130,12,75.138,67.18,7.958,80.482,0.715
130,12,82.537,73.065,9.472,83.466,0.714
130,12,76.966,69.131,7.836,48.9,0.679
